 0.46   0.53   1.24   1.48   3.69   4.57   2.58   0.69   0.50   1.40   0.54
   0.43   0.43   0.40   0.66   1.10   4.34   7.08   3.34   1.27   0.65   0.77
   0.66   0.37   0.43   0.38   0.64   2.19   3.68   3.39   1.86   0.61   0.73
   0.80   0.66   0.40   0.45   0.49   1.08   1.89   5.49   7.26   3.24   1.29
   0.75   1.17   0.65   0.41   0.37   0.48   0.64   1.77   2.83   4.01   1.97
   0.57   0.52   0.63   0.50   0.42   0.48   0.52   1.71   2.17   4.35   5.22
   2.54   1.97   0.81   1.71   0.61   0.45   0.32   0.43   0.62   1.88   4.53
   8.98   5.23   1.39   0.80   0.57   0.55   0.49   0.43   0.46   0.81   1.08
   3.08   5.83   2.11   0.67   0.70   0.66   0.61   0.50   0.35   0.38   0.80
   1.67   3.61   2.46   1.17   0.66   0.47   0.44   0.50   0.48   0.50   0.74
   0.84   1.19   7.00   7.95   2.96   1.14   0.50   0.63   0.73   0.50   0.50
   0.56   1.16   1.10   4.86   9.81   2.72   2.01   0.92   0.52   0.51   0.55
   0.42   0.54   1.11   1.43   5.49   6.32   1.77   0.87   0.52   0.36   0.49
   0.49   0.46   0.42   0.55   1.57   4.45   5.62   2.87   1.66   1.08   0.89
   0.80   0.52   0.38   0.62   0.62   2.01   3.77   3.85   1.23   0.37   0.30
   0.44   0.48   0.33   0.32   0.49   0.74   1.59   2.62   2.94   1.77   0.90
   1.31   1.23   0.75   0.55   0.44   0.43   0.79   1.94   4.14   4.23   1.70
   0.66   0.36   0.52   0.41   0.46   0.41   0.47   0.74   1.50   4.76   4.49
   2.96   1.14   2.51   1.15   0.90   0.54   0.57   0.57   0.92   1.21   5.35
   4.57   1.88   0.77   0.43   0.74   0.70   0.42   0.40   0.42   1.14   2.06
   5.04   5.93   2.47   2.33   2.02   1.14   0.69   0.54   0.36   0.59   0.70
   2.10   2.44   3.78   1.31   1.80   0.64   0.67   0.52   0.35   0.32   0.45
   0.52   0.69   1.42   1.71   0.55   0.30   0.33   0.61   0.43   0.31   0.33
   0.68   0.83   2.02   4.90   4.46   2.48   1.14   0.60   0.41   0.46   0.33
   0.33   0.31   0.61   0.61   1.77   4.90   1.37   0.42   0.46   0.46   0.36
   0.39   0.37   0.37   0.41   0.56   1.35   0.63   0.16   0.16   0.16   0.18
   0.22   0.28   0.31   0.33   0.42   0.80   1.73   4.94   1.81   0.64   0.52
   0.42   0.39   0.32   0.32   0.39   0.56   1.63   4.43   3.27   1.23   1.07
   0.67   0.43   0.54   0.39   0.24   0.51   0.86   1.86   4.29   2.90   1.63
   0.49   0.50   0.56   0.46   0.47   0.39   0.43   0.97   1.99   4.14   0.58
   2.12   0.62   1.11   0.69   0.58   0.49   0.42   0.36   0.99   1.42   3.07
   2.05   0.51   0.27   0.67   0.40   0.38   0.34   0.31   0.36   0.53   0.84
   2.49   1.83   0.48   0.22   0.50   0.84   0.49   0.44   0.43   0.52   0.82
   1.34   6.13   4.94   2.05   0.98   0.75   2.22   1.11   0.71   0.50   0.49
   0.78   3.51   3.96   5.18   1.62   0.56   0.34   0.41   0.45   0.44   0.40
   0.41   0.63   1.79   2.66   3.36   1.76   0.98   0.55   0.46   0.56   0.48
   0.34   0.42   0.63   1.26   4.01   5.10   2.20   0.51   0.28   0.42   0.47
   0.39   0.40   0.43   0.54   0.93   3.46   3.40   2.06   1.25   0.46   0.62
   0.54   0.41   0.45   0.39   0.61   1.25   2.13   2.46   0.90   0.59   0.38
   0.50   0.58   0.55   0.34   0.44   0.81   0.96   3.85   4.04   2.38   1.48
   0.72   1.01   0.72   0.57   0.50   0.56   0.80   2.10   4.32   4.12   1.21
   0.65   0.28   0.41   0.50   0.43   0.42   0.44   0.87   1.61   3.82   5.45
   2.64   0.71   0.39   0.63   0.58   0.45   0.43   0.49   0.80   1.50   2.42
   3.67   1.70   0.52   0.41   0.42   0.43   0.51   0.39   0.44   0.51   0.65
   2.03   3.56   1.67   0.97   0.51   0.51   0.55   0.41   0.59   0.47   0.54
   2.79   6.26   6.40   1.94   1.01   0.67   0.45   0.47   0.47   0.48   0.45
   0.56   0.65   1.29   3.69   1.17   0.81   0.32   0.39   0.51   0.42   0.39
   0.42   0.48   0.67   1.57   0.97   0.80   0.39   0.42   0.63   0.43   0.34
   0.30   0.30   0.72   0.76   1.93   1.95   0.70   0.63   0.28   0.26   0.34
   0.40   0.46   0.35   0.63   1.11   2.70   3.20   0.68   0.44   0.20   0.23
   0.37   0.30   0.35   0.40   0.61   1.02   3.17   6.96   4.95   1.98   1.01
   0.92   1.04   0.63   0.49   0.66   0.86   1.94   4.92   4.54   0.77   0.35
   0.39   0.38   0.44   0.45   0.39   0.39   0.42   0.52   1.26   2.26   0.96
   0.52   0.30   0.62   0.61   0.43   0.37   0.39   0.92   1.98   1.93   2.76
   0.80   0.25   0.24   0.42   0.42   0.34
